candidate,source,epoch_or_variant,runner,local_sr,local_graded,full_three_bowl_success,decision,notes
exact550_e1250,canonical_official550,global_e1250,official_runner,0/3,1/9,0/3,stop,0-layer=2;1-layer=1;2-layer=0;3-layer=0
exact550_e1500,canonical_official550,global_e1500,official_runner,0/3,2/9,0/3,stop,aggregate only;no fabricated per-seed distribution
exact550_e1750,canonical_official550,global_e1750,official_runner,0/3,2/9,0/3,stop,all rollouts completed;no full stack
clean50_e6500,clean50_probe,e6500,official_runner,0/3,1/3,0/3,diagnostic,small clean subset;not a submission result
clean50_e6500_trace,clean50_probe,e6500,diagnostic_trace,1/3,5/9,1/3,do_not_promote,monkey-patched trace;not comparable to official runner
control_oldbest,protected_control,historical_seed61,official_runner,1/3,2/3,1/3,submitted,only valid T4 submission candidate
online_t4_719,submitted_control,private_evaluation,organizer_backend,not_public,0.2533333333333333,not_reported,final,25.3/100;did not pass
